STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
10,192,6205,5277,883,6424,0,6424,25083,15650,9433,381,1241,6461,23555,231546,127017,104529,996,4725,26128,520,564,22210,1582,7534,1687,15211,1,7503,237457,633174
26,193,188,187,2,148,0,148,82,65,17,66,9,127,277,377,42,335,188,30,89,1,57,2057,24,691,26,162,0,374,1202,6364
16,194,567,526,41,435,0,435,209,69,140,171,20,273,1163,2304,537,1767,1797,183,267,16,76,2631,178,129,49,379,12,455,6622,18503
33,195,422,416,226,95,0,95,373,323,50,15,3,145,588,1190,485,705,780,197,521,36,59,1608,287,118,86,308,0,1079,5873,14425
20,196,584,886,11,993,0,993,311,219,92,92,42,509,3117,8570,2431,6139,1034,189,507,2,378,5190,174,2240,552,1746,0,1886,42253,71266
32,197,282,81,3,220,0,220,230,90,140,30,3,88,246,316,16,300,226,35,53,9,66,828,26,211,1,382,0,169,1230,4735
7,198,194,112,1,334,0,334,83,67,16,18,0,69,1432,1435,383,1052,271,30,218,17,57,1050,19,667,85,168,0,954,8826,16040
16,199,975,472,134,449,0,449,960,728,232,654,75,656,2186,8948,2839,6109,2776,429,904,21,98,2979,441,403,53,452,0,63,18996,43124
16,200,87,1,0,12,0,12,28,13,15,205,5,212,60,1940,116,1824,89,2,49,3,0,2,17,43,0,7,0,13,1093,3868
20,201,961,918,27,1124,0,1124,403,365,38,75,85,410,2738,6357,2112,4245,929,409,362,1,380,7431,521,2152,219,923,0,2284,34310,63019
31,202,665,497,51,177,0,177,538,433,105,61,1,226,1022,2675,1100,1575,2334,69,421,42,458,11529,66,753,66,466,0,3147,23096,48360
17,203,226,256,1,40,0,40,209,137,72,40,27,561,1596,3647,1873,1774,1145,127,1334,39,75,2179,31,135,25,426,0,71,11573,23763
17,204,323,221,16,44,0,44,87,38,49,28,4,63,371,668,89,579,1194,76,184,2,18,1762,26,250,0,198,0,0,7533,13068
4,205,253,229,14,727,0,727,637,483,154,43,4,140,363,1398,131,1267,236,122,239,18,156,2385,19,374,0,1058,0,478,2802,11695
26,206,494,603,3,244,0,244,272,226,46,100,6,518,848,2001,371,1630,1100,107,337,3,239,806,177,1831,118,333,0,1091,7924,19155
