STATE_UT,DISTRICT,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING___ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES
ODISHA,KHURDA,516,634,47,535,0,535,595,487,108,225,38,1381,3896,8442,3722,4720,786,249,1757,18,213,9204,196,706,90,1270,1,1442,14045,46286
ODISHA,KORAPUT,528,435,26,544,0,544,319,288,31,150,1,316,1065,1590,228,1362,824,63,319,5,129,427,48,1202,195,672,0,1054,7762,17674
ODISHA,MALKANGIR,461,341,23,167,0,167,105,92,13,105,0,60,219,496,59,437,346,56,95,2,73,463,24,335,36,137,0,217,1564,5325
ODISHA,MAYURBHANJ,1015,657,16,971,0,971,568,516,52,121,20,410,1301,2697,387,2310,347,211,439,16,192,1339,285,2084,123,1377,0,1556,11660,27405
ODISHA,NAYAGARH,382,369,4,246,0,246,306,241,65,69,15,284,694,1394,238,1156,383,56,262,2,133,3734,134,119,34,384,0,451,3277,12732
ODISHA,NOWRANGPUR,302,239,13,337,0,337,270,252,18,58,0,138,539,788,118,670,546,51,132,3,79,797,15,711,102,296,0,435,4058,9909
ODISHA,NUAPADA,161,96,6,116,0,116,122,90,32,29,1,120,310,700,136,564,289,72,154,6,70,505,25,473,61,201,0,286,4431,8234
ODISHA,PURI,492,973,3,401,0,401,404,323,81,113,58,994,1954,3751,891,2860,870,60,523,1,184,1020,277,228,38,724,0,1731,17936,32735
ODISHA,RAYAGADA,341,282,20,275,0,275,199,159,40,78,2,147,507,898,94,804,581,80,211,8,87,339,43,765,44,348,12,818,4553,10638
ODISHA,ROURKELA,482,357,7,295,0,295,178,156,22,136,43,399,1176,3204,917,2287,270,76,497,9,49,1715,40,775,78,388,0,1088,7050,18312
ODISHA,SAMBALPUR,513,668,1,326,0,326,190,143,47,179,40,844,1927,3603,807,2796,794,133,375,9,110,2349,31,800,91,312,0,1675,11215,26185
ODISHA,SONEPUR,137,229,2,127,0,127,66,45,21,20,0,95,325,553,69,484,298,20,150,1,54,706,23,518,25,111,5,211,2121,5797
ODISHA,SRP(CUTTACK),34,29,1,8,0,8,37,19,18,12,14,133,98,4113,470,3643,12,6,53,1,2,328,1,73,7,10,0,5,1039,6016
ODISHA,SRP(ROURKELA),73,28,1,15,0,15,24,20,4,14,19,110,156,1961,224,1737,30,8,26,2,0,49,3,65,3,13,0,35,1258,3893
ODISHA,SUNDARGARH,793,560,14,356,0,356,220,172,48,117,21,452,884,1994,317,1677,447,105,224,9,104,5868,45,732,81,168,0,2083,3109,18386
ODISHA,TOTAL,14453,15652,698,11430,0,11430,9729,8291,1438,3381,680,14705,36505,82837,22571,60266,20877,3478,13370,242,5280,75761,4555,29946,2939,18697,18,36507,246206,647946
PUNJAB,AMRITSAR,470,442,50,135,0,135,349,277,72,16,92,113,1090,2525,1222,1303,0,211,2049,61,33,1906,53,129,23,641,0,987,4503,15878
PUNJAB,BARNALA,183,267,42,141,0,141,95,60,35,2,20,25,453,723,231,492,2,101,726,11,14,1091,28,98,0,205,0,775,2374,7376
PUNJAB,BATALA,287,333,43,218,0,218,189,147,42,15,22,20,628,1122,370,752,0,89,1162,11,28,1904,57,111,0,396,0,700,2808,10143
PUNJAB,BHATINDA,541,601,146,302,0,302,384,276,108,11,40,60,1983,2877,1497,1380,1,216,2025,20,65,2860,51,264,20,509,0,256,6259,19491
PUNJAB,FARIDKOT,214,255,15,130,0,130,142,96,46,11,23,21,728,1051,392,659,0,64,855,10,24,1889,30,129,3,276,0,5,2865,8740
PUNJAB,"FATEHGARH SAHIB",192,131,30,105,0,105,160,91,69,4,42,40,613,1141,462,679,0,143,958,5,2,1526,37,70,20,192,0,1492,2434,9337
PUNJAB,FEROZEPUR,190,225,15,109,0,109,75,47,28,4,13,13,426,698,261,437,0,107,481,10,22,1738,33,80,0,146,0,376,1272,6033
PUNJAB,G.R.P,105,33,16,7,0,7,7,1,6,3,8,10,5,496,76,420,16,11,186,32,3,160,25,22,0,0,0,0,3337,4482
PUNJAB,GURDASPUR,278,279,136,225,0,225,264,208,56,9,16,24,596,969,359,610,0,122,681,14,16,1261,84,136,2,360,0,1542,3711,10725
PUNJAB,HOSHIARPUR,483,468,54,325,0,325,316,222,94,52,53,169,1235,1827,517,1310,2,118,1628,27,84,3417,117,169,22,711,0,2164,3846,17287
PUNJAB,JAGRAON,142,196,24,109,0,109,117,69,48,4,18,24,398,588,162,426,0,60,380,11,8,943,20,55,17,149,0,471,1710,5444
PUNJAB,JALANDHAR,639,912,120,365,0,365,793,594,199,30,117,155,2565,4527,1975,2552,1,128,3691,76,113,4711,112,321,7,1023,0,1983,8008,30397
PUNJAB,KAPURTHALA,308,422,44,190,0,190,254,174,80,27,68,132,977,1738,505,1233,6,57,1834,31,32,2251,45,153,0,410,0,1168,3312,13459
PUNJAB,KHANNA,227,250,37,111,0,111,155,92,63,20,37,56,685,1173,464,709,1,64,821,18,7,1397,42,57,0,254,0,1411,3092,9915
PUNJAB,LUDHIANA,603,676,92,398,0,398,865,576,289,25,173,132,2212,5320,2813,2507,0,327,3176,43,61,2516,90,386,427,1105,0,2299,12387,33313
PUNJAB,MAJITHA,216,159,33,66,0,66,91,70,21,2,12,17,178,318,65,253,0,39,398,15,14,869,32,50,3,125,0,490,1024,4151
PUNJAB,MANSA,319,345,80,171,0,171,114,72,42,10,19,17,533,628,228,400,0,112,665,9,22,1817,47,73,2,178,0,131,2495,7787
PUNJAB,MOGA,362,444,68,152,0,152,235,144,91,23,35,65,991,1514,617,897,4,259,1332,28,30,2699,47,151,9,261,0,931,2731,12371
